feature,importance
purchase_season_Spring,0.537144
purchase_season_Summer,0.3585427
purchase_month,0.06311168
is_high_value_1,0.0033859126
purchase_season_Winter,0.0031978458
customer_state_SP,0.0022058845
is_low_value_1,0.0015651855
revenue_log,0.0014092644
customer_state_SE,0.0012948535
total_revenue,0.00122822
customer_state_MA,0.0012231065
customer_region_N,0.0011547055
customer_state_AL,0.0010497521
purchase_dayofweek_3,0.001040148
customer_state_DF,0.0010228603
customer_state_RS,0.0009913638
customer_state_RN,0.0009106932
customer_region_SE,0.0008908919
customer_state_MT,0.0008710888
purchase_dayofweek_5,0.0008414274
customer_region_Other,0.00082609616
is_revenue_outlier_1,0.00077689043
customer_region_NE,0.00076835195
customer_state_CE,0.00076161016
customer_state_PI,0.0007461065
customer_state_RJ,0.00071958685
customer_state_MS,0.00071543775
purchase_dayofweek_6,0.00070999796
is_weekend_purchase_1,0.0007045138
customer_state_GO,0.0006991786
customer_region_S,0.00068074494
customer_state_PE,0.0006655508
customer_state_PB,0.00066293357
customer_state_ES,0.0006238306
purchase_dayofweek_1,0.00059384044
customer_state_AM,0.0005923712
customer_state_PA,0.000589623
is_big_state_1,0.0005869652
purchase_dayofweek_4,0.0005750385
purchase_dayofweek_2,0.0005561081
customer_state_SC,0.00052874075
customer_state_BA,0.00052136526
customer_state_RO,0.00052016985
customer_state_PR,0.00048799886
customer_state_TO,0.0004856322
customer_state_MG,0.00045003125
customer_state_AP,0.00036974074
customer_state_RR,0.0
