state_code,state_name,region,latitude,longitude,revenue_opportunity,ltv_gap_pct,avg_ltv,total_customers
SP,SP,Sudeste,-23.55,-46.633,956189.5000000006,16.713365088260026,142.76,40075
BA,BA,Nordeste,-12.971,-38.501,267756.42000000004,45.67067479273047,182.13,3219
PE,PE,Nordeste,-8.054,-34.881,109765.68000000001,35.535121328224776,195.75,1578
DF,DF,Centro-Oeste,-15.794,-47.882,81719.11999999998,24.1498036846874,165.55,2044
CE,CE,Nordeste,-3.717,-38.543,73037.12000000002,27.928058247745803,207.39,1261
GO,GO,Centro-Oeste,-16.686,-49.264,67448.52000000002,20.538384845463618,170.51,1926
MG,MG,Sudeste,-19.916,-43.935,66245.20000000007,3.670980587356897,160.72,11228
PR,PR,Sul,-25.428,-49.273,47841.449999999975,6.197697099351912,158.93,4857
MA,MA,Nordeste,-2.53,-44.303,41182.75,28.131942432145273,207.06,707
RS,RS,Sul,-30.034,-51.23,35977.23000000001,4.204482311539175,161.97,5283
RN,RN,Nordeste,-5.794,-35.212,24279.330000000005,24.37183573973374,213.32,467
PI,PI,Nordeste,-5.089,-42.809,20651.179999999997,19.697721633205504,221.65,473
PA,PA,Norte,-1.456,-48.504,20532.81999999999,9.706025805879477,225.53,938
SE,SE,Nordeste,-10.947,-37.073,19228.379999999997,27.71252527197458,207.74,334
ES,ES,Sudeste,-20.319,-40.338,13468.760000000024,4.274360097628145,159.79,1972
AL,AL,Nordeste,-9.665,-35.735,11079.750000000004,11.822473236112288,237.26,395
MS,MS,Centro-Oeste,-20.469,-54.62,9646.480000000003,7.2199906098388045,191.69,697
AM,AM,Norte,-3.119,-60.022,8133.119999999999,29.57997276631402,190.94,144
TO,TO,Norte,-10.184,-48.334,7438.499999999995,12.530131441306219,219.87,270
RO,RO,Norte,-8.763,-63.904,3185.7299999999964,5.595151722077583,234.31,243
