customer_state,customer_region,total_revenue,avg_ltv,repurchase_rate,revenue_concentration_pct,growth_potential,ltv_rank,revenue_rank
SP,Sudeste,5721238.73,142.76,0.0,37.43,Low Potential,27,1
RJ,Sudeste,2039064.75,166.62,0.0,13.34,Low Potential,21,2
MG,Sudeste,1804618.82,160.72,0.0,11.81,Low Potential,24,3
RS,Sul,855693.67,161.97,0.0,5.6,Low Potential,23,4
PR,Sul,771905.4,158.93,0.0,5.05,Low Potential,26,5
SC,Sul,591417.04,168.78,0.0,3.87,Low Potential,20,6
BA,Nordeste,586292.33,182.13,0.0,3.84,Low Potential,18,7
DF,Centro-Oeste,338379.92,165.55,0.0,2.21,Low Potential,22,8
GO,Centro-Oeste,328406.41,170.51,0.0,2.15,Low Potential,19,9
ES,Sudeste,315110.12,159.79,0.0,2.06,Low Potential,25,10
PE,Nordeste,308899.68,195.75,0.0,2.02,Low Potential,15,11
CE,Nordeste,261517.26,207.39,0.0,1.71,Medium Potential,12,12
PA,Norte,211542.61,225.53,0.0,1.38,Medium Potential,6,13
MT,Centro-Oeste,179219.85,205.53,0.0,1.17,Medium Potential,14,14
MA,Nordeste,146390.83,207.06,0.0,0.96,Medium Potential,13,15
PB,Nordeste,135308.5,265.31,0.0,0.89,Medium Potential,1,16
MS,Centro-Oeste,133604.91,191.69,0.0,0.87,Low Potential,16,17
PI,Nordeste,104839.16,221.65,0.0,0.69,Medium Potential,7,18
RN,Nordeste,99620.99,213.32,0.0,0.65,Medium Potential,10,19
AL,Nordeste,93716.96,237.26,0.0,0.61,Medium Potential,4,20
SE,Nordeste,69383.53,207.74,0.0,0.45,Medium Potential,11,21
TO,Norte,59364.26,219.87,0.0,0.39,Medium Potential,8,22
RO,Norte,56938.17,234.31,0.0,0.37,Medium Potential,5,23
AM,Norte,27495.3,190.94,0.0,0.18,Low Potential,17,24
AC,Norte,19051.64,247.42,0.0,0.12,Medium Potential,2,25
AP,Norte,16141.81,240.92,0.0,0.11,Medium Potential,3,26
RR,Norte,8604.31,215.11,0.0,0.06,Medium Potential,9,27
