payment_installments,order_id,payment_value,aov,approved,review_score
1,51970,112.202,122.959,0.997,4.12
2,12256,127.256,129.416,1.0,4.116
3,10332,142.523,144.627,0.999,4.07
4,7010,163.953,166.047,0.999,4.068
5,5190,182.862,185.531,0.999,4.078
6,3903,208.936,211.438,0.999,4.093
7,1616,186.554,188.122,0.999,4.057
8,4212,307.785,312.18,0.999,4.043
9,635,203.457,199.554,0.998,4.106
10,5315,414.204,417.071,0.999,3.985
11,23,124.932,122.481,0.957,3.696
12,133,318.829,316.808,1.0,3.962
13,16,150.462,148.892,1.0,4.062
14,15,167.963,176.311,1.0,4.6
15,74,445.553,446.401,1.0,3.946
16,5,292.694,292.694,1.0,3.8
17,8,174.602,174.523,1.0,3.25
18,26,489.89,493.737,1.0,4.0
20,17,615.802,609.22,1.0,3.941
21,4,236.788,221.535,1.0,4.5
22,1,228.71,228.71,1.0,1.0
23,1,236.48,236.48,1.0,3.0
24,18,610.049,615.125,1.0,3.333
