scenario,month,projected_revenue,projected_customers,projected_profit,cac
Base Case,1,982200.5242524723,6288.0,366680.20970098895,50.0
Base Case,2,988111.8628450274,6288.0,369044.74513801094,50.0
Base Case,3,994058.7786166747,6288.0,371423.51144666993,50.0
Base Case,4,1000041.4856873894,6288.0,373816.5942749558,50.0
Base Case,5,1006060.1994658199,6288.0,376224.079786328,50.0
Base Case,6,1012115.1366570438,6288.0,378646.0546628175,50.0
Base Case,7,1018206.5152703706,6288.0,381082.60610814823,50.0
Base Case,8,1024334.554627191,6288.0,383533.82185087644,50.0
Base Case,9,1030499.4753688734,6288.0,385999.79014754936,50.0
Base Case,10,1036701.4994647086,6288.0,388480.59978588345,50.0
Base Case,11,1042940.8502199014,6288.0,390976.3400879606,50.0
Base Case,12,1049217.752283611,6288.0,393487.1009134444,50.0
Optimistic,1,983375.7191029671,6916.8,367412.28764118685,45.0
Optimistic,2,990477.8128556525,7608.4800000000005,367659.32514226105,45.0
Optimistic,3,997631.199043866,8369.328000000001,367667.49961754645,45.0
Optimistic,4,1004836.2481096257,9206.260800000002,367411.02124385023,45.0
Optimistic,5,1012093.3331703398,10126.886880000004,366861.5074681359,45.0
Optimistic,6,1019402.8300381296,11139.575568000006,365987.72363525187,45.0
Optimistic,7,1026765.1172392899,12253.533124800007,364755.29767771595,45.0
Optimistic,8,1034180.5760338922,13478.886437280009,363126.4062737569,45.0
Optimistic,9,1041649.590435528,14826.77508100801,361059.4296204312,45.0
Optimistic,10,1049172.5472311948,16309.452589108812,358508.5716833199,45.0
Optimistic,11,1056749.836001327,17940.397848019697,355423.442470457,45.0
Optimistic,12,1064381.84913997,19734.437632821668,351748.5985329068,45.0
Pessimistic,1,981025.3294019775,5659.2,364114.13176079106,60.0
Pessimistic,2,985748.7419816084,5093.28,368833.0967926434,60.0
Pessimistic,3,990494.8967124651,4583.952,373278.1986849861,60.0
Pessimistic,4,995263.9030928039,4125.5568,377477.7772371216,60.0
Pessimistic,5,1000055.8711480903,3713.0011200000004,381457.34285923623,60.0
Pessimistic,6,1004870.9114335376,3341.7010080000005,385239.859533415,60.0
Pessimistic,7,1009709.1350366567,3007.5309072000005,388845.99947866274,60.0
Pessimistic,8,1014570.65357982,2706.7778164800006,392294.372349528,60.0
Pessimistic,9,1019455.5792228354,2436.100034832001,395601.73151497415,60.0
Pessimistic,10,1024364.0246655351,2192.4900313488006,398783.1597094701,60.0
Pessimistic,11,1029296.1031503751,1973.2410282139206,401852.23611908045,60.0
Pessimistic,12,1034251.928465048,1775.9169253925286,404821.1867590565,60.0
