segmentation_type,segment_name,num_customers,avg_ltv,avg_cac_proxy,avg_ltv_cac_ratio,avg_payback_months,avg_contribution_margin,avg_margin_pct,total_revenue
Cohort,2018-Q2,19107,167.07,50.0,3.34,,69.58,68.98,3192256.4
Cohort,2018-Q1,20633,154.0,50.0,3.08,,59.29,69.18,3177553.22
Cohort,2017-Q4,17338,159.0,50.0,3.18,,64.35,70.31,2756825.75
Cohort,2018-Q3,11897,161.68,50.0,3.23,,62.64,68.02,1923542.82
Cohort,2017-Q3,12212,156.92,50.0,3.14,,62.76,69.7,1916328.56
Cohort,2017-Q2,8981,161.39,50.0,3.23,,67.74,68.49,1449481.74
Cohort,2017-Q1,4970,164.67,50.0,3.29,,70.98,67.26,818419.53
Cohort,2016-Q4,280,176.28,50.0,3.53,,79.23,70.08,49358.94
RFM Segment,Other,27316,162.03,50.0,3.24,,67.26,71.79,4426019.87
RFM Segment,Champions,5470,314.31,50.0,6.29,,191.28,81.76,1719273.79
RFM Segment,Loyal Customers,6071,274.4,50.0,5.49,,163.43,82.8,1665859.57
RFM Segment,At Risk,7765,212.21,50.0,4.24,,109.88,78.19,1647847.87
RFM Segment,Can't Lose Them,5893,259.84,50.0,5.2,,152.0,82.49,1531220.69
RFM Segment,Need Attention,6177,207.62,50.0,4.15,,104.02,80.66,1282451.47
RFM Segment,Promising,6211,187.41,50.0,3.75,,84.13,71.45,1163978.34
RFM Segment,Lost,10189,58.18,50.0,1.16,,-22.74,52.5,592830.06
RFM Segment,Potential Loyalists,6102,67.24,50.0,1.35,,-15.92,56.89,410321.84
RFM Segment,About to Sleep,5942,51.7,50.0,1.03,,-27.14,48.17,307191.31
RFM Segment,New Customers,5254,51.65,50.0,1.03,,-27.58,49.84,271386.98
RFM Segment,Hibernating,3029,87.61,50.0,1.75,,2.88,71.8,265385.17
Region,Sudeste,65513,150.81,50.0,3.02,,61.12,72.19,9880032.42
Region,Sul,13644,162.64,50.0,3.25,,63.88,66.48,2219016.11
Region,Nordeste,8944,201.92,50.0,4.04,,80.01,56.3,1805969.24
Region,Centro-Oeste,5539,176.86,50.0,3.54,,73.9,65.55,979611.09
Region,Norte,1779,224.36,50.0,4.49,,91.66,50.9,399138.1
State,SP,40075,142.76,50.0,2.86,,58.08,74.77,5721238.73
State,RJ,12238,166.62,50.0,3.33,,68.71,68.39,2039064.75
State,MG,11228,160.72,50.0,3.21,,63.73,68.33,1804618.82
State,RS,5283,161.97,50.0,3.24,,62.32,66.08,855693.67
State,PR,4857,158.93,50.0,3.18,,61.9,66.55,771905.4
State,SC,3504,168.78,50.0,3.38,,69.0,66.97,591417.04
State,BA,3219,182.13,50.0,3.64,,72.29,61.45,586292.33
State,DF,2044,165.55,50.0,3.31,,67.99,66.52,338379.92
State,GO,1926,170.51,50.0,3.41,,67.93,65.7,328406.41
State,ES,1972,159.79,50.0,3.2,,60.81,65.41,315110.12
State,PE,1578,195.75,50.0,3.91,,74.04,56.68,308899.68
State,CE,1261,207.39,50.0,4.15,,84.44,57.15,261517.26
State,PA,938,225.53,50.0,4.51,,96.03,53.41,211542.61
State,MT,872,205.53,50.0,4.11,,90.18,62.42,179219.85
State,MA,707,207.06,50.0,4.14,,71.07,46.59,146390.83
State,PB,510,265.31,50.0,5.31,,118.39,49.94,135308.5
State,MS,697,191.69,50.0,3.83,,87.39,66.18,133604.91
State,PI,473,221.65,50.0,4.43,,85.7,49.7,104839.16
State,RN,467,213.32,50.0,4.27,,84.89,50.24,99620.99
State,AL,395,237.26,50.0,4.75,,109.96,53.1,93716.96
State,SE,334,207.74,50.0,4.15,,76.03,53.49,69383.53
State,TO,270,219.87,50.0,4.4,,85.41,50.9,59364.26
State,RO,243,234.31,50.0,4.69,,91.43,41.94,56938.17
State,AM,144,190.94,50.0,3.82,,65.8,49.44,27495.3
State,AC,77,247.42,50.0,4.95,,105.96,48.26,19051.64
State,AP,67,240.92,50.0,4.82,,108.33,61.38,16141.81
State,RR,40,215.11,50.0,4.3,,70.32,39.04,8604.31
